,Username,Name,No_of_followers,No_of_followees,Tweet,Location,Created_at,Like_count,Retweet_count,to0,to1,to2,to3,to4,to5
758,rizkypsp5,rizky psp,79,379,"RT @conan_idn: Ini muridnya HRS. kalau mau ngomongin HRS, jangan cuman satu pihak dr dudung saja ded @corbuzier, undang dong Habib Bahar ya…","ÜT: -6.247044,107.002286",12/6/2021 15:14,0,792,conan_idn,corbuzier,,,,
759,sudarjkt,Sudarsono,101,82,"RT @conan_idn: Ini muridnya HRS. kalau mau ngomongin HRS, jangan cuman satu pihak dr dudung saja ded @corbuzier, undang dong Habib Bahar ya…",,12/6/2021 15:12,0,792,conan_idn,corbuzier,,,,
760,RikiSan07,Riki Sanjaya,84,394,@MautDzikrul @praburanggam @conan_idn @corbuzier Kalo agama ya dinistka nabi akan maju! Bukan diam saja!!,,12/6/2021 15:09,0,0,MautDzikrul,praburanggam,conan_idn,corbuzier,,
761,jagger_budi,. Budi Jagger,519,589,"@aniesbaswedan banyakan ngibul..
@DahlanIskanBlog  dikibulin..
@corbuzier juga di kibulin katanya membangun lab.covid
@aagym juga di kibulan tiap bln dpt bansos ada lauk pauk,susu,beras...
Tobat nies...tobat...
Ayo siapa yg mo ngasih penghargaan nih..mungkin @musniumar mau .??? https://t.co/a75uqtcADX",Facebook,12/6/2021 15:08,0,0,aniesbaswedan,,,,,
762,Albany98288680,Albany,40,189,"RT @conan_idn: Ini muridnya HRS. kalau mau ngomongin HRS, jangan cuman satu pihak dr dudung saja ded @corbuzier, undang dong Habib Bahar ya…",,12/6/2021 15:06,0,792,conan_idn,corbuzier,,,,
763,MautDzikrul,dzikrul maut,15,3,"@praburanggam @conan_idn @corbuzier Iya silakan aja kalau memang anda ridho dengan demokrasi. Bisa beraspirasi dg cara apapun. Demo2 di jalan, maki2 pemerintah di sosmed pun boleh. 

Kalau sy mah sukanya ngikutin hadits Nabi.

Bebas toh? 
Kan katanya negara demokrasi",Bumi Allaah,12/6/2021 15:04,0,0,praburanggam,conan_idn,corbuzier,,,
764,bloodsport507,Robert DuBois,1,17,"RT @conan_idn: Ini muridnya HRS. kalau mau ngomongin HRS, jangan cuman satu pihak dr dudung saja ded @corbuzier, undang dong Habib Bahar ya…",,12/6/2021 15:03,0,792,conan_idn,corbuzier,,,,
765,josskrapu29,Josskrapu29,13,144,"RT @conan_idn: Ini muridnya HRS. kalau mau ngomongin HRS, jangan cuman satu pihak dr dudung saja ded @corbuzier, undang dong Habib Bahar ya…",,12/6/2021 15:01,0,792,conan_idn,corbuzier,,,,
766,praburanggam,"Prabu Rangga.M,hs",205,191,"@MautDzikrul @conan_idn @corbuzier Indonesia sistemnya Demokrasi cok, semua bebas beraspirasi apapun caranya. Kl mau dateng ke pemerintah diem2 bisa jadi Ngabalin semua, masuk eh malah gak keluar lagi. Beda sistem khilafah. Kl mau nyerap syariat jgn setengah2.",Bandung,12/6/2021 14:58,2,0,MautDzikrul,conan_idn,corbuzier,,,
767,Ryons_BIMC,Street Fighters,644,1051,"RT @conan_idn: Ini muridnya HRS. kalau mau ngomongin HRS, jangan cuman satu pihak dr dudung saja ded @corbuzier, undang dong Habib Bahar ya…",Zimbabwe,12/6/2021 14:58,0,792,conan_idn,corbuzier,,,,
768,Aurora46475666,Aurora,117,253,@jokerkurus @conan_idn @callmerahmasaja @corbuzier Welcome back to peradaban.. Cpt cari beritanya sbelum ngetwiit...,,12/6/2021 14:55,0,0,jokerkurus,conan_idn,callmerahmasaja,corbuzier,,
769,Aurora46475666,Aurora,117,253,"RT @conan_idn: Ini muridnya HRS. kalau mau ngomongin HRS, jangan cuman satu pihak dr dudung saja ded @corbuzier, undang dong Habib Bahar ya…",,12/6/2021 14:53,0,792,conan_idn,corbuzier,,,,
